,Obs,ControlMean,ExpCoef_C,ExpCoef_L,ExpCoef_CLI,ExpCoef_CXL
rev_2016_alternate,="356.0000",="176.4815",="-31.1102",="-22.0765",="-77.9999",="-47.5349"
,,,="(162.2903)",="(162.5776)",="(160.3743)",="(161.1344)"
rouge,="356.0000",="0.2000",="-0.1818",="-0.1640",="-0.1625",="-0.1400"
,,,="(0.1806)",="(0.1810)",="(0.1814)",="(0.1833)"
edu_yrs,="3667.0000",="9.7547",="0.8087",="0.7107",="0.4039",="0.4070"
,,,="(1.4994)",="(1.4999)",="(1.5058)",="(1.5187)"
elect1,="3680.0000",="0.1887",="-0.0615",="-0.0493",="-0.0698",="-0.0447"
,,,="(0.0931)",="(0.0933)",="(0.0937)",="(0.0942)"
lg_inc_mo,="3646.0000",="10.6402",="-0.1054",="0.0735",="-0.1506",="-0.2532"
,,,="(0.2874)",="(0.2854)",="(0.3027)",="(0.3398)"
trust_chief,="3666.0000",="2.9057",="0.1613",="0.2328",="0.3126",="0.3572"
,,,="(0.3513)",="(0.3503)",="(0.3514)",="(0.3547)"
trust_nat_gov,="3488.0000",="2.3269",="0.1876",="0.2219",="0.1777",="0.2000"
,,,="(0.1811)",="(0.1817)",="(0.1845)",="(0.1921)"
trust_prov_gov,="3511.0000",="2.2500",="0.1623",="0.2496",="0.1864",="0.1833"
,,,="(0.2027)",="(0.2034)",="(0.2079)",="(0.2109)"
trust_tax_min,="3474.0000",="2.3725",="-0.0145",="0.0187",="-0.0374",="-0.0759"
,,,="(0.1516)",="(0.1523)",="(0.1571)",="(0.1601)"
