Table 8R2,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8)
,Visited Post Carto,Compliance,Visited Post Carto,Compliance,Visited Post Carto,Compliance,Visited Post Carto,Compliance
Ease of payment,0.045***,0.056***,0.029**,0.044***,,,,
,(0.012),(0.007),(0.014),(0.008),,,,
Predicted Ease of payment,,,,,0.017,0.020,0.024,-0.007
,,,,,(0.021),(0.012),(0.026),(0.008)
Wall quality,,,0.025**,0.021**,0.010,0.015**,0.022**,0.013**
,,,(0.012),(0.007),(0.011),(0.007),(0.011),(0.005)
Roof quality,,,0.005,-0.000,0.006,0.001,0.018**,-0.010
,,,(0.006),(0.002),(0.008),(0.004),(0.008),(0.006)
Erosion threat,,,0.017,-0.004,-0.004,-0.011,-0.001,-0.005
,,,(0.011),(0.004),(0.012),(0.007),(0.010),(0.005)
House FE ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stratum FE ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Observations,5572,8133,4551,5150,4908,4922,4725,4731
Clusters,79,80,66,66,80,80,76,76
Mean,.376,.072,.352,.065,.448,.112,.41,.059
