Table 8R2R3,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8)
,Visited Post Carto,Compliance,Visited Post Carto,Compliance,Visited Post Carto,Compliance,Visited Post Carto,Compliance
Ease of payment,0.036**,0.055***,0.031*,0.046***,,,,
,(0.016),(0.011),(0.016),(0.011),,,,
Predicted Ease of payment,0.041*,0.021*,0.049**,0.026**,0.009,0.023*,0.022,0.002
,(0.022),(0.012),(0.022),(0.010),(0.022),(0.012),(0.026),(0.010)
Wall quality,,,0.024*,0.022**,0.011,0.015**,0.022**,0.012**
,,,(0.014),(0.009),(0.011),(0.007),(0.011),(0.005)
Roof quality,,,0.004,-0.002,0.006,0.001,0.018**,-0.010
,,,(0.007),(0.003),(0.008),(0.004),(0.008),(0.006)
Erosion threat,,,0.010,-0.006,-0.004,-0.011,-0.001,-0.005
,,,(0.011),(0.005),(0.012),(0.007),(0.010),(0.005)
House FE ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stratum FE ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Observations,3117,3121,3067,3071,4908,4922,4725,4731
Clusters,72,72,61,61,,,,
Mean,.376,.072,.352,.065,,,,
