="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p"
="Ease of payment",="0.0448",="0.0560",="0.0287",="0.0442",="",="",="",=""
="",="(0.000570)",="(1.30e-11)",="(0.0405)",="(0.000000690)",="",="",="",=""
="Predicted Ease of payment",="",="",="",="",="0.00897",="0.0233",="0.0218",="0.00227"
="",="",="",="",="",="(0.688)",="(0.0568)",="(0.406)",="(0.813)"
="Wall quality",="",="",="0.0249",="0.0213",="0.0106",="0.0153",="0.0224",="0.0124"
="",="",="",="(0.0489)",="(0.00358)",="(0.327)",="(0.0314)",="(0.0405)",="(0.0123)"
="Roof quality",="",="",="0.00507",="-0.0000608",="0.00604",="0.000866",="0.0182",="-0.00963"
="",="",="",="(0.411)",="(0.973)",="(0.453)",="(0.847)",="(0.0251)",="(0.128)"
="Erosion threat",="",="",="0.0172",="-0.00352",="-0.00386",="-0.0110",="-0.00124",="-0.00513"
="",="",="",="(0.117)",="(0.429)",="(0.755)",="(0.142)",="(0.905)",="(0.294)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="5572",="8133",="4551",="5150",="4908",="4922",="4725",="4731"
="Clusters",="79",="80",="66",="66",="80",="80",="76",="76"
="Mean",=".376",=".072",=".352",=".065",=".448",=".112",=".41",=".059"
