="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Ease of payment",="0.045***",="0.056***",="0.029**",="0.044***",="",="",="",=""
="",="(0.001)",="(0.000)",="(0.041)",="(0.000)",="",="",="",=""
="Predicted Ease of payment",="",="",="",="",="-0.002",="0.021*",="0.022",="0.003"
="",="",="",="",="",="(0.933)",="(0.083)",="(0.409)",="(0.806)"
="Wall quality",="",="",="0.025**",="0.021**",="0.013",="0.016**",="0.024**",="0.013**"
="",="",="",="(0.049)",="(0.004)",="(0.252)",="(0.026)",="(0.027)",="(0.009)"
="Roof quality",="",="",="0.005",="-0.000",="0.006",="0.001",="0.018**",="-0.010"
="",="",="",="(0.411)",="(0.973)",="(0.468)",="(0.817)",="(0.025)",="(0.128)"
="Erosion threat",="",="",="0.017",="-0.004",="-0.003",="-0.011",="-0.002",="-0.005"
="",="",="",="(0.117)",="(0.429)",="(0.808)",="(0.140)",="(0.843)",="(0.333)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="5572",="8133",="4551",="5150",="4980",="4994",="4819",="4825"
="Clusters",="79",="80",="66",="66",="82",="82",="77",="77"
="Mean",=".376",=".072",=".352",=".065",=".449",=".112",=".413",=".061"
