="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Ease of payment",="0.045",="0.056",="0.029",="0.044",="",="",="",=""
="",="(0.012)",="(0.007)",="(0.014)",="(0.008)",="",="",="",=""
="Predicted Ease of payment",="",="",="",="",="0.057",="0.046",="0.006",="0.045"
="",="",="",="",="",="(0.023)",="(0.014)",="(0.016)",="(0.008)"
="Wall quality",="",="",="0.025",="0.021",="0.011",="0.015",="0.025",="0.011"
="",="",="",="(0.012)",="(0.007)",="(0.011)",="(0.007)",="(0.011)",="(0.005)"
="Roof quality",="",="",="0.005",="-0.000",="0.006",="0.001",="0.018",="-0.010"
="",="",="",="(0.006)",="(0.002)",="(0.008)",="(0.004)",="(0.008)",="(0.006)"
="Erosion threat",="",="",="0.017",="-0.004",="-0.003",="-0.011",="-0.002",="-0.005"
="",="",="",="(0.011)",="(0.004)",="(0.012)",="(0.007)",="(0.010)",="(0.005)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="5574",="8135",="4551",="5150",="4980",="4994",="4820",="4826"
="Clusters",="79",="80",="66",="66",="82",="82",="77",="77"
="Mean",="0.376",="0.072",="0.352",="0.065",="0.449",="0.112",="0.413",="0.061"
