="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p"
="Ease of payment",="0.0448",="0.0561",="0.0287",="0.0442",="",="",="",=""
="",="(0.000562)",="(1.32e-11)",="(0.0405)",="(0.000000690)",="",="",="",=""
="Predicted Ease of payment",="",="",="",="",="0.0571",="0.0463",="0.00644",="0.0450"
="",="",="",="",="",="(0.0138)",="(0.00182)",="(0.684)",="(0.000000152)"
="Wall quality",="",="",="0.0249",="0.0213",="0.0115",="0.0151",="0.0247",="0.0112"
="",="",="",="(0.0489)",="(0.00358)",="(0.298)",="(0.0304)",="(0.0226)",="(0.0176)"
="Roof quality",="",="",="0.00507",="-0.0000608",="0.00620",="0.000996",="0.0181",="-0.00968"
="",="",="",="(0.411)",="(0.973)",="(0.440)",="(0.821)",="(0.0259)",="(0.128)"
="Erosion threat",="",="",="0.0172",="-0.00352",="-0.00334",="-0.0112",="-0.00179",="-0.00490"
="",="",="",="(0.117)",="(0.429)",="(0.783)",="(0.122)",="(0.859)",="(0.312)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="5574",="8135",="4551",="5150",="4980",="4994",="4820",="4826"
="Clusters",="79",="80",="66",="66",="82",="82",="77",="77"
="Mean",=".376",=".072",=".352",=".065",=".449",=".112",=".413",=".061"
