="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues"
="Ease of payment",="0.0284",="0.0711",="0.00702",="0.0522",="",="",="",=""
="",="(0.409)",="(0.0000838)",="(0.850)",="(0.0158)",="",="",="",=""
="",="",="",="",="",="",="",="",=""
="Predicted Ease of payment",="",="",="",="",="0.0545",="-0.0190",="-0.0467",="-0.00830"
="",="",="",="",="",="(0.530)",="(0.712)",="(0.610)",="(0.775)"
="",="",="",="",="",="",="",="",=""
="Wall quality",="",="",="0.0279",="0.0215",="0.0155",="0.0320",="-0.00809",="0.0293"
="",="",="",="(0.352)",="(0.0844)",="(0.666)",="(0.220)",="(0.865)",="(0.106)"
="",="",="",="",="",="",="",="",=""
="Roof quality",="",="",="-0.00453",="0.00134",="0.0293",="0.00462",="0.0657",="-0.00317"
="",="",="",="(0.811)",="(0.701)",="(0.0625)",="(0.358)",="(0.000000205)",="(0.181)"
="",="",="",="",="",="",="",="",=""
="Erosion threat",="",="",="0.0294",="-0.0273",="0.0397",="0.0219",="0.0596",="-0.0253"
="",="",="",="(0.269)",="(0.00206)",="(0.337)",="(0.480)",="(0.322)",="(0.144)"
="",="",="",="",="",="",="",="",=""
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="585",="757",="447",="488",="296",="296",="280",="281"
="Clusters",="77",="78",="62",="62",="67",="67",="68",="68"
="Mean",=".433",=".098",=".404",=".073",=".449",=".095",=".511",=".057"
