="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Ease of payment",="0.045***",="0.056***",="0.029**",="0.044***",="",="",="",=""
="",="(0.001)",="(0.000)",="(0.041)",="(0.000)",="",="",="",=""
="Predicted Ease of payment",="",="",="",="",="0.017",="0.020",="0.024",="-0.007"
="",="",="",="",="",="(0.432)",="(0.110)",="(0.369)",="(0.394)"
="Wall quality",="",="",="0.025**",="0.021**",="0.010",="0.015**",="0.022**",="0.013**"
="",="",="",="(0.049)",="(0.004)",="(0.335)",="(0.031)",="(0.042)",="(0.011)"
="Roof quality",="",="",="0.005",="-0.000",="0.006",="0.001",="0.018**",="-0.010"
="",="",="",="(0.411)",="(0.973)",="(0.445)",="(0.823)",="(0.025)",="(0.128)"
="Erosion threat",="",="",="0.017",="-0.004",="-0.004",="-0.011",="-0.001",="-0.005"
="",="",="",="(0.117)",="(0.429)",="(0.751)",="(0.141)",="(0.902)",="(0.292)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="5572",="8133",="4551",="5150",="4908",="4922",="4725",="4731"
="Clusters",="79",="80",="66",="66",="",="",="",=""
="Mean",=".376",=".072",=".352",=".065",="",="",="",=""
