="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Ease of payment",="0.037",="0.072***",="0.016",="0.053**",="",="",="",=""
="",="(0.033)",="(0.017)",="(0.036)",="(0.021)",="",="",="",=""
="Predicted Ease of payment",="",="",="",="",="0.095",="-0.033",="-0.056",="-0.010"
="",="",="",="",="",="(0.081)",="(0.057)",="(0.091)",="(0.029)"
="Not very much confidence",="-0.164",="-0.007",="-0.228*",="-0.029",="0.008",="-0.129",="0.128",="0.078"
="",="(0.111)",="(0.059)",="(0.126)",="(0.043)",="(0.125)",="(0.083)",="(0.173)",="(0.097)"
="Some confidence",="0.008",="0.012",="0.015",="0.048",="-0.062",="-0.112*",="-0.013",="0.033"
="",="(0.070)",="(0.038)",="(0.080)",="(0.036)",="(0.086)",="(0.061)",="(0.102)",="(0.036)"
="A lot of confidence",="-0.131**",="-0.008",="-0.134*",="0.048",="0.016",="-0.097*",="0.001",="-0.000"
="",="(0.065)",="(0.035)",="(0.077)",="(0.029)",="(0.088)",="(0.056)",="(0.098)",="(0.027)"
="Wall quality ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Roof quality ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Erosion threat ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="583",="755",="446",="487",="294",="294",="280",="281"
="Clusters",="77",="78",="62",="62",="",="",="",=""
="Mean",=".433",=".098",=".404",=".073",="",="",="",=""
