="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="RECODE of willingness (Willingness)",="0.034**",="0.037***",="0.033**",="0.038***",="",="",="",=""
="",="(0.004)",="(0.000)",="(0.007)",="(0.000)",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="-0.007",="0.011",="-0.010",="0.028**"
="",="",="",="",="",="(0.803)",="(0.225)",="(0.758)",="(0.003)"
="Wall quality",="",="",="0.022",="0.021**",="0.011",="0.016**",="0.023**",="0.012**"
="",="",="",="(0.104)",="(0.017)",="(0.328)",="(0.026)",="(0.035)",="(0.017)"
="Roof quality",="",="",="0.011",="0.001",="0.006",="0.001",="0.018**",="-0.009"
="",="",="",="(0.187)",="(0.749)",="(0.455)",="(0.869)",="(0.023)",="(0.139)"
="Erosion threat",="",="",="0.016",="-0.005",="-0.004",="-0.011",="-0.001",="-0.005"
="",="",="",="(0.168)",="(0.285)",="(0.750)",="(0.151)",="(0.918)",="(0.295)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="3933",="5521",="3929",="4461",="4908",="4922",="4725",="4731"
="Clusters",="50",="50",="50",="50",="",="",="",=""
="Mean",=".361",=".064",=".361",=".067",="",="",="",=""
="Clusters2",="",="",="",="",="",="",="",=""
="Mean2",="",="",="",="",="",="",="",=""
