="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p"
="Willingness",="0.0342",="0.0374",="0.0329",="0.0384",="",="",="",=""
="",="(0.00436)",="(0.00000513)",="(0.00658)",="(0.0000101)",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="-0.0103",="0.0116",="-0.0187",="0.0249"
="",="",="",="",="",="(0.709)",="(0.193)",="(0.578)",="(0.00713)"
="Wall quality",="",="",="0.0216",="0.0210",="0.0106",="0.0158",="0.0233",="0.0117"
="",="",="",="(0.104)",="(0.0169)",="(0.333)",="(0.0251)",="(0.0331)",="(0.0189)"
="Roof quality",="",="",="0.0107",="0.000728",="0.00600",="0.000726",="0.0180",="-0.00926"
="",="",="",="(0.187)",="(0.749)",="(0.454)",="(0.870)",="(0.0234)",="(0.138)"
="Erosion threat",="",="",="0.0165",="-0.00496",="-0.00398",="-0.0106",="-0.00101",="-0.00516"
="",="",="",="(0.168)",="(0.285)",="(0.746)",="(0.152)",="(0.921)",="(0.288)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="3933",="5521",="3929",="4461",="4908",="4922",="4725",="4731"
="Clusters",="50",="50",="50",="50",="80",="80",="76",="76"
="Mean",=".357",=".062",=".357",=".066",=".448",=".112",=".41",=".059"
