="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Willingness",="0.034**",="0.037***",="0.033**",="0.038***",="",="",="",=""
="",="(0.004)",="(0.000)",="(0.007)",="(0.000)",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="-0.013",="0.007",="0.011",="0.034***"
="",="",="",="",="",="(0.612)",="(0.579)",="(0.591)",="(0.000)"
="Wall quality",="",="",="0.022",="0.021**",="0.011",="0.013**",="0.024**",="0.012**"
="",="",="",="(0.104)",="(0.017)",="(0.303)",="(0.047)",="(0.022)",="(0.014)"
="Roof quality",="",="",="0.011",="0.001",="0.004",="-0.002",="0.017**",="-0.010*"
="",="",="",="(0.187)",="(0.749)",="(0.533)",="(0.736)",="(0.036)",="(0.090)"
="Erosion threat",="",="",="0.016",="-0.005",="-0.006",="-0.008",="-0.000",="-0.007"
="",="",="",="(0.168)",="(0.285)",="(0.623)",="(0.235)",="(0.968)",="(0.147)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="3933",="5521",="3929",="4461",="5317",="5332",="5078",="5085"
="Clusters",="50",="50",="50",="50",="80",="80",="76",="76"
="Mean",=".357",=".062",=".357",=".066",=".446",=".11",=".399",=".058"
