="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Willingness",="0.034**",="0.037***",="0.033**",="0.038***",="",="",="",=""
="",="(0.011)",="(0.007)",="(0.012)",="(0.008)",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="0.053",="0.025",="0.002",="0.026**"
="",="",="",="",="",="(0.032)",="(0.018)",="(0.033)",="(0.011)"
="Wall quality",="",="",="0.022",="0.021**",="0.010",="0.013**",="0.025**",="0.013**"
="",="",="",="(0.013)",="(0.009)",="(0.010)",="(0.007)",="(0.010)",="(0.005)"
="Roof quality",="",="",="0.011",="0.001",="0.004",="-0.001",="0.017**",="-0.010*"
="",="",="",="(0.008)",="(0.002)",="(0.006)",="(0.005)",="(0.008)",="(0.006)"
="Erosion threat",="",="",="0.016",="-0.005",="-0.006",="-0.008",="-0.000",="-0.006"
="",="",="",="(0.012)",="(0.005)",="(0.013)",="(0.007)",="(0.009)",="(0.005)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="3933",="5521",="3929",="4461",="5317",="5332",="5078",="5085"
="Clusters",="50",="50",="50",="50",="80",="80",="76",="76"
="Mean",=".357",=".062",=".357",=".066",=".446",=".11",=".399",=".058"
