="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Willingness",="0.034",="0.037",="0.033",="0.038",="",="",="",=""
="",="(0.011)",="(0.007)",="(0.012)",="(0.008)",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="0.042",="0.033",="0.005",="0.016"
="",="",="",="",="",="(0.020)",="(0.012)",="(0.017)",="(0.008)"
="Wall quality",="",="",="0.022",="0.021",="0.012",="0.015",="0.025",="0.012"
="",="",="",="(0.013)",="(0.009)",="(0.011)",="(0.007)",="(0.011)",="(0.005)"
="Roof quality",="",="",="0.011",="0.001",="0.006",="0.001",="0.018",="-0.010"
="",="",="",="(0.008)",="(0.002)",="(0.008)",="(0.004)",="(0.008)",="(0.006)"
="Erosion threat",="",="",="0.016",="-0.005",="-0.003",="-0.011",="-0.002",="-0.005"
="",="",="",="(0.012)",="(0.005)",="(0.012)",="(0.007)",="(0.010)",="(0.005)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="3933",="5521",="3929",="4461",="4980",="4994",="4820",="4826"
="Clusters",="50",="50",="50",="50",="82",="82",="77",="77"
="Mean",=".3573935936814392",=".0620915032679739",=".357487922705314",=".0657945363601385",=".448995983935743",=".1115338406087305",=".4132780082987552",=".0607128056361376"
