="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p"
="Willingness",="0.0342",="0.0374",="0.0329",="0.0384",="",="",="",=""
="",="(0.00436)",="(0.00000513)",="(0.00658)",="(0.0000101)",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="0.0419",="0.0333",="0.00500",="0.0163"
="",="",="",="",="",="(0.0354)",="(0.00516)",="(0.765)",="(0.0560)"
="Wall quality",="",="",="0.0216",="0.0210",="0.0117",="0.0153",="0.0248",="0.0122"
="",="",="",="(0.104)",="(0.0169)",="(0.289)",="(0.0275)",="(0.0213)",="(0.0109)"
="Roof quality",="",="",="0.0107",="0.000728",="0.00608",="0.000896",="0.0180",="-0.00973"
="",="",="",="(0.187)",="(0.749)",="(0.449)",="(0.839)",="(0.0261)",="(0.123)"
="Erosion threat",="",="",="0.0165",="-0.00496",="-0.00307",="-0.0110",="-0.00186",="-0.00499"
="",="",="",="(0.168)",="(0.285)",="(0.801)",="(0.133)",="(0.853)",="(0.299)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="3933",="5521",="3929",="4461",="4980",="4994",="4820",="4826"
="Clusters",="50",="50",="50",="50",="82",="82",="77",="77"
="Mean",=".357",=".062",=".357",=".066",=".449",=".112",=".413",=".061"
