="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Willingness",="0.016",="0.063**",="0.018",="0.054**",="",="",="",=""
="",="(0.035)",="(0.020)",="(0.036)",="(0.020)",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="-0.084",="0.057",="-0.050",="0.027"
="",="",="",="",="",="(0.083)",="(0.043)",="(0.078)",="(0.036)"
="Not very much confidence",="-0.193",="-0.030",="-0.201",="-0.032",="0.032",="-0.139*",="0.121",="0.077"
="",="(0.143)",="(0.045)",="(0.144)",="(0.043)",="(0.127)",="(0.080)",="(0.168)",="(0.099)"
="Some confidence",="0.076",="0.018",="0.073",="0.045",="-0.065",="-0.112*",="-0.014",="0.038"
="",="(0.082)",="(0.036)",="(0.081)",="(0.037)",="(0.085)",="(0.061)",="(0.103)",="(0.038)"
="A lot of confidence",="-0.023",="0.047",="-0.024",="0.067**",="0.010",="-0.093",="-0.002",="0.005"
="",="(0.079)",="(0.032)",="(0.078)",="(0.032)",="(0.089)",="(0.056)",="(0.101)",="(0.029)"
="Wall quality ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Roof quality ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Erosion threat ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="393",="499",="393",="432",="294",="294",="280",="281"
="Clusters",="50",="50",="50",="50",="66",="66",="68",="68"
="Mean",=".416",=".077",=".416",=".077",=".449",=".095",=".511",=".057"
