,Obs,ControlMean,ExpCoef_L,ExpCoef_CLI,ExpCoef_CXL
dist_stateandmkt,="4.41e+04",="1.4972",="0.0569",="-0.0008",="0.0418"
,,,="(0.0542)",="(0.0582)",="(0.0660)"
dist_health,="4.41e+04",="0.3250",="0.0228",="0.0394",="0.0040"
,,,="(0.0210)",="(0.0245)",="(0.0272)"
dist_edu,="4.41e+04",="0.6510",="0.0309",="0.0362",="0.0121"
,,,="(0.0275)",="(0.0370)",="(0.0359)"
dist_roads,="4.35e+04",="0.4142",="0.0336",="-0.0210",="0.0404"
,,,="(0.0442)",="(0.0499)",="(0.0623)"
dist_ravin,="4.35e+04",="0.1200",="0.0021",="0.0113",="0.0308"
,,,="(0.0094)",="(0.0118)",="(0.0127)"
house_quality_new,="2.84e+04",="0.0041",="-0.0146",="0.1372",="-0.0662"
,,,="(0.0982)",="(0.0895)",="(0.1076)"
sex_prop,="2.22e+04",="0.7669",="0.0135",="0.0011",="-0.0080"
,,,="(0.0106)",="(0.0127)",="(0.0129)"
age_prop,="1.99e+04",="54.3547",="0.4486",="0.1183",="0.5567"
,,,="(0.4823)",="(0.5944)",="(0.6441)"
main_tribe,="2.26e+04",="0.7689",="0.0234",="0.0028",="0.0227"
,,,="(0.0159)",="(0.0150)",="(0.0154)"
employed,="2.43e+04",="0.7382",="0.0067",="0.0039",="-0.0135"
,,,="(0.0141)",="(0.0147)",="(0.0153)"
salaried,="2.43e+04",="0.2537",="0.0054",="-0.0138",="-0.0126"
,,,="(0.0093)",="(0.0115)",="(0.0108)"
work_gov,="2.43e+04",="0.1531",="0.0054",="0.0056",="-0.0069"
,,,="(0.0073)",="(0.0091)",="(0.0092)"
job_gov,="2.70e+04",="0.2284",="0.0033",="0.0190",="0.0068"
,,,="(0.0121)",="(0.0136)",="(0.0160)"
