Table 7R1,,,,,,
,(1),(2),(3),(4),(5),(6)
,Tax Compliance,Tax Amount,Visited,Visits,Compliance,Compliance
,b/se/pvalues,b/se/pvalues,b/se/pvalues,b/se/pvalues,b/se/pvalues,b/se/pvalues
Central + Chief Info,0.0242,46.57,-0.0162,-0.0255,0.0264,0.0221
,(0.00914),(21.20),(0.0279),(0.0441),(0.0140),(0.00909)
,[0.032],[0.083],[0.622],[0.619],[0.851],[0.024]
Local,,,,,,0.0462
,,,,,,(0.00688)
,,,,,,
Time FE ,Yes,Yes,Yes,Yes,Yes,Yes
House FE ,Yes,Yes,Yes,Yes,Yes,Yes
Stratum FE ,Yes,Yes,Yes,Yes,Yes,Yes
Observations,20636,20636,13884,13877,5283,33746
Clusters,165,165,163,163,161,267
Mean,.051,150.66,.387,.497,.097,.052
CLIvC_p,,,,,,.0073865172467853
