="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Tax Compliance",="Tax Compliance",="Tax Compliance",="Tax Compliance",="Tax Compliance"
="",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues"
="Local",="0.0226",="0.0322",="0.0320",="0.0331",="0.0396"
="",="(0.00576)",="(0.0000111)",="(0.000171)",="(0.00000729)",="(0.00000316)"
="",="[0.016]",="[0.001]",="[0.000]",="[0.001]",="[0.000]"
="Month FE ",="No",="Yes",="Yes",="Yes",="Yes"
="House FE ",="No",="No",="No",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="28872",="27764",="213",="27764",="23803"
="Clusters",="221",="213",="",="213",="213"
="Mean",=".068",=".063",=".065",=".063",=".073"
