="",="(1)",="(2)",="(3)",="(4)"
="",="Tax Compliance",="Tax Compliance",="Tax Compliance",="Tax Compliance"
="Local",="0.020",="0.033**",="0.034**",="0.044**"
="",="(0.016)",="(0.014)",="(0.014)",="(0.017)"
="Not very much confidence",="-0.016",="-0.020",="-0.018",="-0.022"
="",="(0.025)",="(0.025)",="(0.025)",="(0.032)"
="Some confidence",="0.012",="0.007",="0.007",="0.007"
="",="(0.020)",="(0.020)",="(0.020)",="(0.026)"
="A lot of confidence",="-0.015",="-0.023",="-0.024",="-0.030"
="",="(0.017)",="(0.017)",="(0.017)",="(0.021)"
="Month FE ",="No",="Yes",="Yes",="Yes"
="House FE ",="No",="No",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes"
="Observations",="2517",="2426",="2426",="1868"
="Clusters",="221",="213",="213",="212"
="Mean",=".088",=".082",=".082",=".103"
