="",="(1)",="(2)",="(3)",="(4)"
="",="Tax Compliance",="Tax Compliance",="Tax Compliance",="Tax Compliance"
="",="b/p",="b/p",="b/p",="b/p"
="Local",="0.0197",="0.0330",="0.0338",="0.0436"
="",="(0.207)",="(0.0210)",="(0.0185)",="(0.0118)"
="Not very much confidence",="-0.0161",="-0.0198",="-0.0179",="-0.0221"
="",="(0.515)",="(0.432)",="(0.480)",="(0.497)"
="Some confidence",="0.0117",="0.00746",="0.00702",="0.00681"
="",="(0.556)",="(0.706)",="(0.723)",="(0.790)"
="A lot of confidence",="-0.0151",="-0.0229",="-0.0235",="-0.0299"
="",="(0.369)",="(0.174)",="(0.165)",="(0.160)"
="Month FE ",="No",="Yes",="Yes",="Yes"
="House FE ",="No",="No",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes"
="Observations",="2517",="2426",="2426",="1868"
="Clusters",="221",="213",="213",="212"
="Mean",=".088",=".082",=".082",=".103"
