="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Tax Compliance",="Tax Compliance",="Tax Compliance",="Tax Compliance",="Tax Compliance"
="Local",="0.020",="0.033**",="0.035**",="0.034**",="0.044**"
="",="(0.016)",="(0.014)",="(0.017)",="(0.014)",="(0.018)"
="Month FE ",="No",="Yes",="Yes",="Yes",="Yes"
="House FE ",="No",="No",="No",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="2530",="2439",="213",="2439",="1878"
="Clusters",="221",="213",="",="213",="212"
="Mean",=".088",=".082",=".08",=".082",=".103"
