="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Tax Compliance",="Tax Compliance",="Tax Compliance",="Tax Compliance",="Tax Compliance"
="Local",="0.089153**",="0.086043**",="0.035322**",="0.083430**",="0.118163**"
="",="(0.023913)",="(0.027846)",="(0.034504)",="(0.032980)",="(0.013651)"
="Trust Chief",="0.006508",="0.001667",="-0.016390",="0.000771",="0.002603"
="",="(0.317622)",="(0.796082)",="(0.429297)",="(0.905740)",="(0.730710)"
="Local x Trust Chief",="-0.022390**",="-0.017192",="",="-0.016110",="-0.023999*"
="",="(0.038801)",="(0.112340)",="",="(0.137321)",="(0.075886)"
="Month FE ",="No",="Yes",="Yes",="Yes",="Yes"
="House FE ",="No",="No",="No",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="2517",="2426",="213",="2426",="1868"
="Clusters",="221",="213",="",="213",="212"
="Mean",=".088",=".082",=".08",=".082",=".103"
