="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Paid - Periph",="Paid - MM",="HQ - Visited",="HQ - Paid",="Income - Visited"
="",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues"
="Local",="0.0363",="0.00164",="-0.146",="0.00193",="-0.0630"
="",="(0.0000106)",="(0.898)",="(0.0106)",="(0.963)",="(0.707)"
="",="[0.001]",="[0.903]",="[0.018]",="[0.962]",="[0.695]"
="a7_hq_y",="",="",="0.940",="",=""
="",="",="",="(3.22e-52)",="",=""
="",="",="",="",="",=""
="a7_inc_mo_avg",="",="",="",="0.000598",=""
="",="",="",="",="(0.977)",=""
="",="",="",="",="",=""
="a7_econ_ind",="",="",="",="",="0.289"
="",="",="",="",="",="(0.286)"
="",="",="",="",="",=""
="Month FE ",="Yes",="Yes",="Yes",="Yes",="Yes"
="House FE ",="No",="No",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="24380",="3384",="1310",="228",="228"
="Clusters",="208",="150",="157",="121",="121"
="Mean",=".064",=".062",=".099",=".007",=".118"
