="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Revenues",="Revenues",="Revenues",="Revenues",="Revenues"
="",="b/se/pvalues",="b/se/pvalues",="b/se/pvalues",="b/se/pvalues",="b/se/pvalues"
="Local",="57.63",="79.64",="81.83",="68.86",="81.99"
="",="(25.69)",="(22.86)",="(38.59)",="(20.56)",="(23.56)"
="",="[0.051]",="[0.005]",="[0.019]",="[0.010]",="[0.003]"
="Month FE ",="No",="Yes",="Yes",="Yes",="Yes"
="House FE ",="No",="No",="No",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="28872",="27764",="213",="27764",="23803"
="Clusters",="221",="213",="",="213",="213"
="Mean",="192.891",="182.236",="210.134",="182.236",="208.568"
