="",="(1)",="(2)",="(3)",="(4)"
="",="Revenues",="Revenues",="Revenues",="Revenues"
="Local",="43.132",="91.523",="84.543",="117.685*"
="",="(61.684)",="(57.887)",="(55.733)",="(67.959)"
="Not very much confidence",="-32.224",="-53.141",="-70.408",="-99.212"
="",="(115.240)",="(119.652)",="(117.540)",="(157.826)"
="Some confidence",="10.458",="-26.305",="-22.320",="-30.155"
="",="(68.236)",="(66.611)",="(65.628)",="(84.387)"
="A lot of confidence",="-36.770",="-69.584",="-64.207",="-91.461"
="",="(65.915)",="(65.223)",="(64.143)",="(81.232)"
="Month FE ",="No",="Yes",="Yes",="Yes"
="House FE ",="No",="No",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes"
="Observations",="2517",="2426",="2426",="1868"
="Clusters",="221",="213",="213",="212"
="Mean",="275.851",="252.785",="252.785",="310.011"
