="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Revenues",="Revenues",="Revenues",="Revenues",="Revenues"
="",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues"
="Local",="57.62738",="79.63981",="81.83050",="68.85529",="81.99130"
="",="(0.0259)",="(0.000599)",="(0.0356)",="(0.000960)",="(0.000609)"
="",="[0.051000]",="[0.005000]",="[0.019000]",="[0.010000]",="[0.003000]"
="Month FE ",="No",="Yes",="Yes",="Yes",="Yes"
="House FE ",="No",="No",="No",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="28872",="27764",="213",="27764",="23803"
="Clusters",="221",="213",="",="213",="213"
="Mean",="192.891",="182.236",="210.134",="182.236",="208.568"
