="",="(1)",="(2)",="(3)",="(4)"
="",="Visited Post Carto",="Visits Post Carto",="Visited Other Contact",="Visits Other Contact"
="",="b/p",="b/p",="b/p",="b/p"
="Local",="-0.0543",="-0.00696",="0.00382",="0.00140"
="",="(0.121)",="(0.932)",="(0.764)",="(0.962)"
="Month FE ",="Yes",="Yes",="Yes",="Yes"
="House FE ",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes"
="Observations",="1813",="1813",="1105",="1105"
="Clusters",="208",="208",="188",="188"
="Mean",=".477",=".65",=".036",=".064"
